file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
tools/memory-profiler/GCHeapProfilerImpl.h,53,0,0,0,0.24
tools/profiler/public/GeckoProfiler.h,274,1,39,0,1.24
tools/memory-profiler/NativeProfilerImpl.h,43,0,0,0,0.33
tools/memory-profiler/UncensoredAllocator.h,48,0,0,0,0.33
js/src/jsfriendapi.h,3038,2,119,2,0.51
dom/base/nsIDOMClassInfo.h,30,0,0,0,0.00
dom/base/nsIGlobalObject.h,83,1,3,0,0.66
js/xpconnect/src/xpcprivate.h,3881,1,352,2,0.29
tools/profiler/lul/LulMain.cpp,1944,6,54,5,0.49
tools/profiler/lul/LulMain.h,397,2,17,2,1.50
tools/profiler/lul/LulCommonExt.h,554,1,43,1,0.57
tools/profiler/lul/LulElfExt.h,68,0,0,0,2.93
tools/profiler/lul/LulMainInt.h,393,2,11,1,1.32
tools/profiler/lul/platform-linux-lul.h,24,0,0,0,2.00
tools/profiler/lul/LulPlatformMacros.h,53,0,0,0,0.00
js/src/jsapi-tests/testArrayBuffer.cpp,160,10,6,3,0.14
js/src/jsapi-tests/tests.h,454,1,42,3,0.13
media/libjpeg/jdapistd.c,278,5,4,2,0.89
media/libjpeg/jinclude.h,83,0,0,0,0.00
media/libjpeg/jpeglib.h,1115,0,0,0,1.59
media/libjpeg/jpegcomp.h,30,0,0,0,0.00
media/libjpeg/jmorecfg.h,376,0,0,0,11.67
other-licenses/7zstub/src/7zip/Compress/Branch/x86_2.cpp,412,9,9,5,0.01
other-licenses/7zstub/src/7zip/Common/StdAfx.h,9,0,0,0,0.00
other-licenses/7zstub/src/7zip/Compress/Branch/x86_2.h,133,1,14,1,0.02
other-licenses/7zstub/src/Common/Alloc.h,29,0,0,0,0.50
other-licenses/7zstub/src/Common/MyWindows.h,200,0,0,0,0.03
other-licenses/7zstub/src/Common/MyCom.h,203,1,29,2,0.29
dom/cellbroadcast/ipc/CellBroadcastParent.cpp,74,2,6,2,0.20
media/webrtc/trunk/tools/gyp/test/toplevel-dir/src/sub1/prog1.c,7,1,1,0,0.00
devtools/server/nsJSInspector.cpp,147,2,12,2,0.06
devtools/server/nsJSInspector.h,39,1,4,0,0.35
xpcom/ds/nsArray.h,74,1,10,0,0.32
ipc/chromium/src/third_party/libevent/include/event2/rpc.h,596,0,0,0,4.52
widget/nsBaseScreen.cpp,90,1,8,2,0.09
widget/nsBaseScreen.h,81,1,3,0,1.48
dom/filesystem/FileSystemRequestParent.cpp,92,3,4,2,0.17
dom/filesystem/CreateDirectoryTask.h,63,0,0,0,0.22
dom/filesystem/CreateFileTask.h,85,0,0,0,0.22
dom/filesystem/GetDirectoryListingTask.h,69,0,0,0,0.28
dom/filesystem/GetFileOrDirectoryTask.h,70,0,0,0,0.31
dom/filesystem/RemoveTask.h,73,0,0,0,0.23
gfx/layers/ipc/RemoteContentController.cpp,389,2,24,3,0.12
ipc/chromium/src/base/message_loop.h,574,1,18,1,1.26
ipc/chromium/src/base/task.h,368,1,36,1,0.54
layout/base/Units.h,647,1,57,0,0.17
widget/android/AndroidBridge.h,599,1,31,1,0.10
ipc/chromium/src/base/tracked.h,129,1,6,1,1.02
gfx/angle/src/tests/deqp_support/tcuANGLENativeDisplayFactory.h,62,1,3,0,0.78
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/mock/mock_decoder_database.h,64,1,1,0,0.25
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/decoder_database.h,154,1,2,0,0.81
gfx/cairo/libpixman/src/pixman-arm-simd.c,257,8,30,3,0.15
gfx/cairo/libpixman/src/pixman-private.h,1187,2,12,2,0.16
gfx/cairo/libpixman/src/pixman-arm-common.h,428,0,0,0,0.00
gfx/cairo/libpixman/src/pixman-inlines.h,1421,4,5,2,1.30
dom/svg/SVGTextPathElement.cpp,151,1,10,1,0.20
dom/svg/nsSVGElement.h,722,1,63,1,0.20
caps/nsNullPrincipalURI.h,60,1,1,0,0.74
xpcom/base/nsISizeOf.h,35,0,0,0,1.50
