bug_id,review_iterations,comment_times,comment_words,reviewer_cnt,reviewer_comment_rate,non_author_voters,neg_review_rate,response_delay,review_duration,feedback_count,neg_feedbacks,feedback_delay,review_status
1225355,1.0,0.0,0.0,1.0,1.0,1.0,0.0,14.05,14.05,0.0,0.0,-1.0,+
1225357,1.0,4.0,23.0,1.0,0.0,1.0,0.0,25.62,25.62,0.0,0.0,-1.0,+
1043361,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.55,0.55,0.0,0.0,-1.0,+
1046782,1.0,0.0,0.0,1.0,1.0,1.0,0.0,10.9,10.9,0.0,0.0,-1.0,+
1186149,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.68,6.68,0.0,0.0,-1.0,+
1268458,1.0,1.0,11.25,1.0,0.0,0.5,0.0,0.36,0.36,0.0,0.0,-1.0,+
1223215,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.97,1.97,0.0,0.0,-1.0,+
1261092,2.0,10.0,96.0,2.0,0.0,2.0,0.0,20.54,20.82,0.0,0.0,-1.0,+
1042947,1.0,1.0,1.0,1.0,0.0,1.0,0.0,20.89,20.89,0.0,0.0,-1.0,+
1042946,1.0,0.0,0.0,1.0,1.0,1.0,0.0,12.99,12.99,0.0,0.0,-1.0,+
1261094,1.0,0.0,0.0,1.0,0.0,1.0,0.0,110.58,110.58,1.0,0.0,9.69,+
1170609,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.55,0.55,0.0,0.0,-1.0,+
1261099,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.44,2.44,0.0,0.0,-1.0,+
1042949,1.0,0.0,0.0,1.0,1.0,1.0,0.0,118.42,118.42,0.0,0.0,-1.0,+
1229475,1.0,0.6,8.0,1.0,0.6,1.0,0.0,59.17,59.17,0.0,0.0,-1.0,+
1229473,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.81,4.81,0.0,0.0,-1.0,+
1140788,2.0,1.0,8.0,2.0,0.5,2.0,0.0,37.64,37.78,0.0,0.0,-1.0,+
1208078,1.0,1.0,24.0,1.0,0.0,1.0,0.0,3.34,3.34,0.0,0.0,-1.0,+
1138992,1.0,1.0,6.0,1.0,0.0,1.0,0.0,23.81,23.81,0.0,0.0,-1.0,+
1138993,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.19,8.19,0.0,0.0,-1.0,+
1136107,1.0,0.0,0.0,1.0,1.0,1.0,0.0,11.1,11.1,0.0,0.0,-1.0,+
1136101,0.8,6.2,78.8,0.8,0.0,0.4,-0.2,129.68,129.68,0.4,0.0,-0.36,+
1240252,1.0,4.0,29.0,1.0,0.0,1.0,0.0,2.51,2.51,0.0,0.0,-1.0,+
1240254,1.0,0.0,0.0,1.0,1.0,1.0,0.0,19.71,19.71,0.0,0.0,-1.0,+
1146339,0.67,0.0,0.0,0.67,0.0,0.67,-0.33,1.65,1.65,0.0,0.0,-1.0,+
1146331,1.0,1.0,12.0,1.0,1.0,1.0,0.0,79.06,79.06,1.0,0.0,1.24,+
1146333,1.0,2.0,9.5,1.0,0.0,1.0,0.0,53.29,53.29,0.0,0.0,-1.0,+
1288380,1.0,1.0,7.0,1.0,0.0,1.0,0.0,27.69,27.69,0.0,0.0,-1.0,+
1146335,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.26,0.26,0.0,0.0,-1.0,+
1155033,1.0,2.0,34.0,1.0,0.0,1.0,0.0,1.92,1.92,0.0,0.0,-1.0,+
1155030,1.0,0.0,0.0,1.0,1.0,1.0,0.0,11.99,11.99,0.0,0.0,-1.0,+
1155034,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.97,9.97,0.0,0.0,-1.0,+
1061048,1.0,0.0,0.0,1.0,1.0,1.0,0.0,13.61,13.61,0.0,0.0,-1.0,+
1210611,0.5,1.5,24.0,0.5,0.0,0.5,-0.5,-0.02,-0.02,0.0,0.0,-1.0,+
1210616,0.5,2.0,30.0,0.5,0.0,0.5,-0.5,5.8,5.8,0.5,0.0,8.42,+
1210617,1.0,1.0,12.0,1.0,0.0,1.0,0.0,424.69,424.69,0.0,0.0,-1.0,+
1224974,1.0,4.0,24.0,1.0,0.0,1.0,0.0,0.49,0.49,0.0,0.0,-1.0,+
1224975,1.0,2.0,25.0,1.0,0.0,1.0,0.0,19.45,19.45,0.0,0.0,-1.0,+
1047124,1.0,6.5,88.0,1.0,0.0,1.0,0.5,205.75,205.75,0.0,0.0,-1.0,?
1047120,2.0,6.0,51.0,2.0,0.0,2.0,0.0,0.45,13.0,0.0,0.0,-1.0,+
