bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
1042587,3,-4,-3,3,-4,0,0
1043828,3,-4,-6,0,0,2,-2
1046055,2,-2,1,2,-1,0,0
1042625,3,-3,3,0,0,1,-1
1046059,2,-1,1,0,0,0,0
1042195,3,-3,1,2,-2,0,0
1042192,3,-3,5,0,0,0,0
1043820,1,-3,-2,1,-3,0,0
1043642,2,-2,0,0,0,2,-1
1042307,3,-3,3,0,0,1,-1
1041969,3,-2,5,0,0,0,0
1043396,1,-2,-1,0,0,0,0
1042889,4,-5,-28,3,-4,3,-4
1044932,3,-2,2,3,-2,0,0
1042996,3,-2,1,2,-2,0,0
1041914,2,-2,0,0,0,0,0
1042991,2,-4,-1,0,0,0,0
1043461,2,-3,-4,0,0,0,0
1041919,2,-3,-2,1,-2,0,0
1045041,1,-1,0,1,-1,0,0
1043669,2,-2,2,0,0,0,0
1046281,3,-2,4,0,0,0,0
1043663,1,-2,-2,0,0,0,0
1043803,3,-3,-1,0,0,0,0
1042696,2,-3,-4,0,0,0,0
1045165,3,-3,-112,1,-1,0,0
1045163,2,-3,-7,0,0,0,0
1045161,2,-2,1,2,-2,0,0
1041960,1,-3,-2,1,-3,0,0
1045715,3,-3,10,1,-1,1,-1
1043182,2,-2,0,2,-2,0,0
1045652,2,-1,2,0,0,1,-1
1043181,3,-2,3,3,-1,0,0
1045657,1,-1,0,0,0,0,0
1043766,2,-2,0,0,0,0,0
1044067,2,-2,0,2,-2,1,-1
1043163,1,-2,-4,0,0,0,0
1043000,3,-3,0,0,0,0,0
1043004,4,-3,1,0,0,0,0
1042840,2,-2,0,2,-2,0,0
1044666,1,-1,0,1,-1,0,0
1046176,2,-3,-3,2,-3,0,0
1044668,3,-2,-2,0,0,0,0
1044742,3,-4,-5,3,-3,0,0
1045743,2,-2,3,2,-2,0,0
1044118,1,-1,0,0,0,0,0
1044119,1,-2,-2,0,0,0,0
1044448,1,-1,0,0,0,0,0
1043710,3,-2,3,0,0,0,0
1044446,2,-1,1,2,-1,0,0
1044447,1,-2,-1,0,0,0,0
1044445,1,-1,0,1,-1,0,0
1044111,1,-1,0,0,0,0,0
1043719,2,-3,-2,0,0,0,0
1042300,3,-5,-2,0,0,1,-1
1043480,2,-1,1,0,0,0,0
1043489,2,-3,1,2,-1,2,-2
1045900,1,-1,0,0,0,0,0
1045902,3,-3,1,0,0,0,0
1044595,3,-2,6,0,0,1,-1
1044596,2,-2,-1,2,-2,0,0
1044597,2,-2,-2,0,0,0,0
1044598,3,-3,-1,3,-3,0,0
1045909,2,-3,0,0,0,0,0
1046045,1,-2,-1,1,-2,0,0
1050609,1,-2,-1,1,-2,0,0
1046904,2,-1,1,0,0,0,0
1049242,1,-1,0,1,-1,0,0
1047755,2,-2,-1,0,0,0,0
1049247,1,-1,0,1,-1,0,0
1047751,2,-3,-6,2,-3,0,0
1049249,1,-2,-1,1,-2,0,0
1049248,3,-4,0,0,0,0,0
1047613,3,-3,6,3,-3,1,-1
1047759,1,-2,-1,0,0,0,0
1049087,3,-3,-1,0,0,0,0
1047022,2,-3,-1,2,-1,0,0
1048628,3,-3,-4,0,0,0,0
1049499,1,-1,0,1,-1,0,0
1049325,1,-2,-3,0,0,0,0
1048624,3,-2,2,0,0,0,0
1049327,1,-1,0,0,0,0,0
1048622,1,-1,0,0,0,0,0
1049321,1,-1,0,0,0,0,0
1048148,2,-2,0,0,0,1,-1
1050103,1,-1,0,0,0,0,0
1049810,2,-2,0,2,-2,0,0
1049816,1,-2,-1,0,0,0,0
1049814,4,-2,2,2,-2,0,0
1049818,1,-1,0,0,0,0,0
1047533,1,-1,0,1,-1,0,0
1046993,2,-2,0,0,0,0,0
1046997,3,-2,2,0,0,0,0
1047433,3,-4,-1,0,0,0,0
1047436,1,-1,0,0,0,0,0
1050518,3,-2,1,3,-2,0,0
1050214,3,-3,2,0,0,0,0
1049662,3,-2,-1,2,-2,0,0
1050199,2,-1,1,2,-1,0,0
1049888,3,-4,-4,3,-2,0,0
1049884,2,-2,-2,0,0,0,0
1049887,3,-5,-6,0,0,0,0
1050219,1,-3,-4,0,0,0,0
1047973,2,-2,2,0,0,0,0
1046876,2,-2,-2,1,-1,0,0
1046870,1,-3,-2,1,-1,0,0
1047873,1,-1,0,0,0,0,0
