bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1235896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086627,963.0,1.5,65.5,2.5,0.23,3.94,90941.41,1.77,41.0,51.0
1201098,1350.2,2.2,44.8,2.4,1.1,3.26,341737.74,1.76,21.6,39.8
1289847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1259449,247.0,3.0,12.0,2.0,0.06,1.21,5035.84,0.84,0.33,4.0
1233497,2844.75,3.0,194.25,3.25,0.19,3.03,211977.71,1.28,19.17,38.0
1233492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
